ticker,accession,filing_date,items,exhibit_filename,edgar_8k_extracted,extraction_method,fmp_release_date,fmp_eps_actual,yahoo_release_date,yahoo_eps_actual,delta_edgar_fmp,delta_edgar_yahoo,delta_fmp_yahoo,quorum_outcome,settlement_value
NVDA,0001045810-26-000019,2026-02-25,"2.02,9.01",q4fy26pr.htm,1.62,narrative_split,2026-02-25,1.62,2026-02-25,1.62,0.0,0.0,0.0,all_3_agree,1.62
NVDA,0001045810-25-000228,2025-11-19,"2.02,9.01",q3fy26pr.htm,1.3,narrative_both,2025-11-19,1.3,2025-11-19,1.3,0.0,0.0,0.0,all_3_agree,1.3
NVDA,0001045810-25-000207,2025-08-27,"2.02,9.01",q2fy26pr.htm,1.05,narrative_split,2025-08-27,1.05,2025-08-27,1.05,0.0,0.0,0.0,all_3_agree,1.05
NVDA,0001045810-25-000115,2025-05-28,"2.02,9.01",q1fy26pr.htm,0.81,narrative_split,2025-05-28,0.81,2025-05-28,0.81,0.0,0.0,0.0,all_3_agree,0.81
NVDA,0001045810-25-000021,2025-02-26,"2.02,9.01",q4fy25pr.htm,0.89,for_quarter_anchored_was,2025-02-26,0.89,2025-02-26,0.89,0.0,0.0,0.0,all_3_agree,0.89
NVDA,0001045810-24-000315,2024-11-20,"2.02,9.01",q3fy25pr.htm,0.81,for_quarter_anchored_was,2024-11-20,0.81,2024-11-20,0.81,0.0,0.0,0.0,all_3_agree,0.81
NVDA,0001045810-24-000262,2024-08-28,"2.02,9.01",q2fy25pr.htm,0.68,for_quarter_anchored_was,2024-08-28,0.68,2024-08-28,0.68,0.0,0.0,0.0,all_3_agree,0.68
NVDA,0001045810-24-000113,2024-05-22,"2.02,8.01,9.01",q1fy25pr.htm,6.12,for_quarter_anchored_was,2024-05-22,0.61,2024-05-22,0.61,5.51,5.51,0.0,fmp_yahoo_agree,0.61
NVDA,0001045810-24-000028,2024-02-21,"2.02,9.01",q4fy24pr.htm,5.16,for_quarter_anchored_was,2024-02-21,0.52,2024-02-21,0.52,4.64,4.64,0.0,fmp_yahoo_agree,0.52
NVDA,0001045810-23-000225,2023-11-21,"2.02,9.01",q3fy24pr.htm,4.02,for_quarter_anchored_was,2023-11-21,0.4,2023-11-21,0.4,3.62,3.62,0.0,fmp_yahoo_agree,0.4
NVDA,0001045810-23-000171,2023-08-23,"2.02,9.01",q2fy24pr.htm,2.7,for_quarter_anchored_was,2023-08-23,0.27,2023-08-23,0.27,2.43,2.43,0.0,fmp_yahoo_agree,0.27
NVDA,0001045810-23-000087,2023-05-24,"2.02,9.01",q1fy24pr.htm,1.09,for_quarter_anchored_was,2023-05-24,0.11,2023-05-24,0.11,0.98,0.98,0.0,fmp_yahoo_agree,0.11
NVDA,0001045810-23-000014,2023-02-22,"2.02,9.01",q4fy23pr.htm,0.88,for_quarter_anchored_was,2023-02-22,0.09,2023-02-22,0.09,0.79,0.79,0.0,fmp_yahoo_agree,0.09
NVDA,0001045810-22-000163,2022-11-16,"2.02,9.01",q3fy23pr.htm,0.58,for_quarter_anchored_was,2022-11-16,0.06,2022-11-16,0.06,0.52,0.52,0.0,fmp_yahoo_agree,0.06
NVDA,0001045810-22-000136,2022-08-24,"2.02,9.01",q2fy23pr.htm,0.51,for_quarter_anchored_was,2022-08-24,0.05,2022-08-24,0.05,0.46,0.46,0.0,fmp_yahoo_agree,0.05
NVDA,0001045810-22-000133,2022-08-08,"2.02,9.01",pressrelease.htm,,no_match,,,,,,,,no_edgar,
